N,P,K,temperature,humidity,pH,rainfall,crop
67,38,38,25.5,66.9,6.1,98.9,bean
77,42,42,25.0,71.1,6.3,91.8,tomato
76,44,42,23.9,69.2,6.6,88.6,tomato
102,52,46,23.0,81.6,6.4,146.7,lentil
94,58,47,21.7,78.0,6.4,150.3,lentil
72,45,38,25.7,64.7,5.9,105.1,bean
77,42,42,24.4,70.7,6.5,86.6,tomato
99,52,52,21.1,79.1,6.8,152.9,lentil
144,46,36,25.6,73.0,6.8,113.7,chickpea
88,42,43,24.9,70.4,6.6,92.5,tomato
80,38,34,25.4,66.1,6.2,97.5,bean
152,42,40,24.9,74.9,6.7,111.9,chickpea
82,46,38,24.3,70.5,6.8,90.2,tomato
65,38,38,25.7,64.1,6.0,98.5,bean
70,45,33,25.7,68.0,6.1,101.1,bean
110,52,41,22.0,73.7,6.5,132.8,pea
85,48,41,24.4,71.3,6.6,91.4,tomato
96,55,52,21.6,77.8,6.6,146.8,lentil
87,50,38,23.2,70.8,6.3,90.0,tomato
154,47,38,24.8,73.0,6.5,107.8,chickpea
80,42,34,25.9,66.2,6.0,96.8,bean
85,47,44,23.0,70.8,6.6,94.2,tomato
122,49,40,21.9,73.6,6.5,125.8,pea
96,54,50,21.6,77.0,6.6,149.9,lentil
102,59,47,22.4,77.4,6.6,150.9,lentil
111,50,43,22.3,75.1,6.8,133.1,pea
65,41,38,25.7,66.5,5.9,96.4,bean
93,53,51,22.5,77.4,6.7,149.2,lentil
95,57,46,21.8,80.9,6.5,153.2,lentil
76,45,37,26.1,65.2,6.2,96.8,bean
73,38,36,26.1,63.9,6.1,107.8,bean
80,42,34,25.3,66.9,5.8,96.9,bean
65,40,38,25.8,65.6,6.2,100.9,bean
157,42,40,24.6,72.3,6.6,112.1,chickpea
78,49,39,24.4,68.1,6.5,88.4,tomato
157,44,37,24.3,75.2,6.7,108.4,chickpea
118,49,42,22.8,73.1,6.5,133.5,pea
79,50,38,23.7,68.3,6.7,88.2,tomato
102,58,52,21.6,78.0,6.6,151.6,lentil
82,44,38,24.1,71.9,6.3,93.2,tomato
88,44,38,23.5,68.6,6.5,93.6,tomato
113,54,40,22.7,72.1,6.7,132.1,pea
89,46,39,24.7,68.8,6.8,90.0,tomato
125,55,42,22.5,72.9,6.8,126.1,pea
89,49,43,23.2,69.3,6.5,94.0,tomato
100,59,45,22.7,80.2,6.7,155.0,lentil
91,52,50,22.4,79.7,6.8,145.8,lentil
80,48,41,23.9,68.3,6.3,87.0,tomato
75,41,38,26.3,65.6,5.9,97.3,bean
76,40,35,26.3,65.6,6.0,102.4,bean
152,43,38,24.8,75.9,6.5,109.6,chickpea
87,48,39,24.7,69.1,6.4,85.3,tomato
75,38,36,26.3,64.6,6.0,101.9,bean
88,48,43,23.5,69.2,6.8,93.2,tomato
152,49,38,24.3,74.1,6.8,109.7,chickpea
145,44,39,24.3,75.2,6.6,111.3,chickpea
91,59,51,22.5,78.2,6.5,145.4,lentil
73,38,38,25.3,65.7,6.2,103.5,bean
157,46,37,24.6,75.3,6.6,107.4,chickpea
113,55,41,22.2,73.7,6.8,134.0,pea
154,45,39,24.4,75.9,6.7,109.2,chickpea
72,41,36,26.3,64.3,6.1,100.3,bean
66,40,35,25.1,64.7,6.2,107.5,bean
150,46,38,25.6,75.5,6.9,112.8,chickpea
