N,P,K,temperature,humidity,pH,rainfall,crop
133,36,32,26.7,67.5,6.7,122.0,sorghum
112,44,41,19.8,68.5,7.0,71.9,wheat
77,48,39,22.5,82.5,6.3,217.4,rice
117,47,40,18.7,71.7,7.4,76.0,wheat
91,55,40,22.9,75.1,6.8,170.9,barley
68,48,19,23.0,64.3,6.5,86.0,maize
83,47,19,24.4,63.3,6.7,90.9,maize
79,46,41,21.2,81.7,6.8,214.6,rice
87,59,45,22.7,72.4,6.6,172.1,barley
83,40,42,23.6,82.7,6.6,223.7,rice
94,42,40,21.6,80.6,6.4,215.3,rice
109,50,35,18.3,70.8,7.4,77.7,wheat
133,37,35,25.8,64.8,6.8,118.6,sorghum
109,50,39,17.9,68.6,7.5,76.1,wheat
138,36,32,25.8,67.3,7.0,124.2,sorghum
122,48,35,18.3,71.0,7.2,82.8,wheat
92,44,41,21.6,81.2,6.7,226.5,rice
100,59,42,23.8,74.9,6.7,172.3,barley
93,55,43,23.1,74.9,6.5,178.7,barley
82,43,42,22.2,82.0,6.6,222.8,rice
95,59,44,23.8,72.7,6.9,174.9,barley
90,54,43,24.2,73.2,6.9,178.5,barley
77,55,21,23.9,69.8,6.8,80.2,maize
95,43,39,22.2,80.5,6.8,225.5,rice
137,39,33,26.8,66.5,6.9,119.3,sorghum
92,57,41,24.4,75.3,6.4,172.8,barley
88,41,40,23.5,82.6,6.5,228.9,rice
134,38,33,25.6,64.8,6.6,118.1,sorghum
143,40,31,26.0,67.6,7.0,128.6,sorghum
138,39,31,25.5,66.6,6.7,116.1,sorghum
78,49,19,22.1,68.4,6.2,86.7,maize
74,51,22,23.6,68.4,6.8,94.3,maize
86,54,41,23.9,73.5,6.7,172.9,barley
85,51,18,22.0,67.4,6.2,80.2,maize
81,50,41,22.7,82.3,6.3,217.2,rice
82,46,19,23.5,69.0,6.4,89.2,maize
144,37,34,26.2,65.7,6.7,125.3,sorghum
136,42,32,26.5,65.2,6.9,123.9,sorghum
87,57,40,23.9,72.5,6.5,181.0,barley
125,40,32,26.1,67.6,6.8,117.5,sorghum
76,46,41,21.2,82.3,6.2,229.4,rice
126,42,34,25.1,67.5,6.5,124.0,sorghum
125,50,35,19.2,69.8,7.0,80.7,wheat
110,49,35,20.0,70.7,7.0,77.9,wheat
87,52,40,22.6,75.7,6.3,174.1,barley
128,37,32,26.0,64.1,6.7,125.7,sorghum
