N,P,K,temperature,humidity,pH,rainfall,crop
94,45,34,21.1,71.8,6.8,93.6,coffee
101,54,42,25.9,77.3,6.7,146.7,tea
164,48,39,27.3,66.2,6.9,124.6,cotton
98,48,33,22.2,71.2,6.7,89.9,coffee
99,48,38,22.7,70.4,6.6,86.7,coffee
156,50,41,28.8,67.4,6.4,121.0,cotton
134,39,30,23.3,66.9,7.2,100.9,tobacco
97,42,33,22.4,68.5,6.5,85.5,coffee
158,48,39,28.5,65.4,6.7,124.0,cotton
99,44,36,21.3,69.0,6.4,91.9,coffee
110,51,42,25.7,79.8,6.7,153.7,tea
157,45,39,28.4,65.6,6.7,119.5,cotton
139,44,30,23.1,65.4,7.0,95.4,tobacco
160,46,42,27.5,67.8,6.3,124.2,cotton
144,38,28,22.2,64.3,6.9,95.6,tobacco
134,39,28,22.4,67.2,7.1,106.7,tobacco
95,47,34,21.5,70.7,6.8,88.4,coffee
90,47,37,21.7,71.3,6.3,90.8,coffee
140,53,43,24.6,72.3,5.7,182.8,sugarcane
86,46,35,22.0,71.3,6.5,85.9,coffee
136,54,45,25.3,74.0,5.8,182.8,sugarcane
138,60,44,24.8,73.4,5.7,181.1,sugarcane
104,52,38,25.2,78.0,6.6,153.3,tea
130,40,28,23.2,63.5,7.1,96.3,tobacco
130,44,30,22.1,67.0,6.9,106.1,tobacco
136,45,30,23.2,63.4,7.2,103.6,tobacco
160,42,42,27.3,66.7,6.9,121.9,cotton
106,53,38,25.5,77.5,6.5,149.4,tea
156,48,41,27.6,66.0,6.7,119.7,cotton
165,45,39,28.3,63.8,6.9,121.7,cotton
132,39,28,22.6,64.5,7.0,98.3,tobacco
90,43,38,22.5,69.6,6.5,88.7,coffee
108,52,37,25.3,80.8,6.7,148.4,tea
99,43,34,23.0,70.9,6.7,88.8,coffee
134,54,48,24.6,73.2,5.6,175.2,sugarcane
129,55,48,24.8,73.0,5.9,179.2,sugarcane
105,54,40,25.4,80.6,6.4,146.9,tea
111,51,42,26.2,80.1,6.5,145.6,tea
139,57,46,24.9,72.1,5.8,180.4,sugarcane
162,43,41,27.7,66.4,6.4,121.8,cotton
134,41,28,22.6,64.2,7.1,97.4,tobacco
163,48,42,27.2,63.7,6.4,120.3,cotton
145,45,31,23.3,65.8,7.1,107.1,tobacco
145,42,31,22.4,66.8,6.9,96.3,tobacco
103,55,38,26.4,77.4,6.6,147.9,tea
162,46,38,28.2,66.3,6.6,119.8,cotton
130,52,45,24.2,74.2,5.7,175.5,sugarcane
113,55,41,26.4,79.8,6.6,151.6,tea
108,54,42,26.0,79.2,6.6,154.5,tea
128,56,46,25.4,72.6,5.8,175.3,sugarcane
138,41,32,22.5,63.3,6.9,101.9,tobacco
127,53,46,25.3,74.6,5.6,181.7,sugarcane
156,43,40,27.5,65.1,6.9,120.9,cotton
157,47,41,27.7,67.5,6.7,118.3,cotton
142,43,31,22.6,65.2,7.1,101.6,tobacco
143,45,29,22.3,66.6,7.2,100.3,tobacco
162,50,42,29.0,67.8,6.9,117.7,cotton
90,47,36,21.3,69.2,6.2,91.9,coffee
139,58,45,24.5,72.2,5.8,182.2,sugarcane
93,50,35,22.7,68.0,6.5,88.7,coffee
155,43,40,28.2,63.6,6.8,119.9,cotton
133,42,28,22.5,64.5,6.9,105.6,tobacco
137,40,29,22.0,66.1,6.8,107.5,tobacco
159,44,42,27.6,65.7,6.7,118.9,cotton
130,55,44,24.6,73.4,5.9,176.4,sugarcane
160,47,38,28.8,64.0,6.4,115.8,cotton
161,42,40,27.6,64.9,6.8,119.2,cotton
85,45,34,22.4,69.0,6.8,91.5,coffee
101,53,39,25.8,78.4,6.8,153.2,tea
134,57,48,25.2,75.4,5.8,184.5,sugarcane
100,48,33,21.1,70.4,6.6,87.9,coffee
90,50,38,22.1,71.6,6.6,90.7,coffee
144,43,28,23.4,67.4,7.0,97.9,tobacco
163,48,38,27.5,66.5,6.6,122.4,cotton
161,48,42,28.5,65.9,6.4,122.3,cotton
97,47,34,21.2,69.0,6.5,92.7,coffee
161,44,42,27.6,67.1,6.9,119.1,cotton
91,44,37,22.2,71.9,6.3,94.9,coffee
133,54,46,24.3,72.5,5.7,175.3,sugarcane
89,42,36,22.8,70.3,6.5,94.6,coffee
138,55,47,24.3,72.8,5.6,183.7,sugarcane
137,55,43,24.5,75.3,5.8,179.8,sugarcane
109,53,40,26.1,79.1,6.4,147.1,tea
150,42,40,28.7,64.0,6.6,119.9,cotton
164,45,40,27.1,65.0,6.7,116.2,cotton
135,58,46,24.5,74.5,5.8,184.4,sugarcane
158,50,40,28.6,63.9,6.8,122.3,cotton
138,38,28,23.4,63.3,7.1,98.0,tobacco
145,44,29,23.3,63.3,6.9,107.2,tobacco
99,44,34,21.4,71.2,6.4,85.6,coffee
100,50,40,25.4,80.4,6.8,150.5,tea
109,53,42,25.3,78.8,6.4,149.0,tea
156,49,40,27.8,68.0,6.9,124.9,cotton
161,45,38,28.6,65.8,6.8,117.3,cotton
163,48,41,28.0,64.0,6.9,119.8,cotton
112,51,39,25.7,78.7,6.9,153.2,tea
101,55,42,26.5,81.4,6.6,146.4,tea
143,41,32,22.4,65.7,6.9,96.0,tobacco
131,54,44,24.1,75.5,5.8,181.2,sugarcane
92,45,38,21.9,71.6,6.4,87.4,coffee
110,50,40,25.0,79.1,6.6,145.6,tea
133,53,45,24.6,75.7,5.9,180.6,sugarcane
141,39,29,22.8,64.6,6.9,96.4,tobacco
152,50,42,28.2,67.5,6.9,119.6,cotton
93,49,35,22.7,70.7,6.4,88.6,coffee
136,59,42,24.3,73.3,6.0,181.7,sugarcane
94,42,36,22.4,70.3,6.7,87.0,coffee
126,59,43,25.0,72.8,5.8,178.3,sugarcane
134,53,48,25.3,75.1,5.6,183.1,sugarcane
97,50,34,21.3,69.9,6.8,94.4,coffee
140,54,44,24.4,74.6,5.6,183.3,sugarcane
91,42,35,21.5,71.4,6.3,93.8,coffee
163,42,38,27.3,64.9,6.6,117.0,cotton
151,43,39,28.6,63.7,6.6,122.5,cotton
101,51,41,25.6,77.9,6.4,152.2,tea
126,58,42,24.3,74.1,6.0,180.7,sugarcane
130,56,45,24.7,72.8,5.7,176.7,sugarcane
132,43,31,22.5,65.0,7.0,105.1,tobacco
131,58,43,24.4,75.2,5.9,180.0,sugarcane
112,54,40,25.1,78.8,6.4,148.1,tea
91,48,34,21.5,70.4,6.5,85.1,coffee
162,42,38,28.8,68.0,6.3,115.2,cotton
106,50,40,25.6,81.1,6.4,150.2,tea
132,44,29,22.6,64.6,6.9,99.0,tobacco
98,43,37,21.9,69.1,6.7,93.1,coffee
102,48,40,25.7,79.5,6.5,146.3,tea
163,44,42,27.3,66.0,6.7,119.9,cotton
133,39,30,23.2,67.1,6.9,103.0,tobacco
108,52,41,26.1,79.0,6.8,147.6,tea
100,42,33,22.9,68.3,6.4,88.6,coffee
115,49,37,25.0,78.1,6.4,152.8,tea
159,46,39,28.1,63.6,6.8,115.7,cotton
129,52,44,24.5,72.5,5.5,180.4,sugarcane
104,53,42,25.5,79.0,6.8,148.2,tea
114,53,39,25.7,80.4,6.7,150.0,tea
163,46,39,27.8,64.4,6.3,119.1,cotton
130,53,45,25.4,75.0,5.6,177.1,sugarcane
134,58,45,24.6,76.0,5.5,181.7,sugarcane
91,50,37,22.5,71.1,6.7,89.3,coffee
141,41,31,23.5,64.0,6.9,96.4,tobacco
91,49,37,22.5,69.3,6.2,94.2,coffee
89,48,33,22.2,68.5,6.7,90.5,coffee
111,54,40,25.8,78.6,6.5,149.0,tea
99,44,33,22.2,68.4,6.5,90.1,coffee
141,44,31,23.3,64.3,7.0,95.4,tobacco
128,59,44,24.6,73.5,5.8,179.2,sugarcane
137,56,45,25.0,75.1,5.8,179.2,sugarcane
127,59,45,25.2,76.0,5.7,176.5,sugarcane
93,43,38,22.5,71.0,6.3,92.8,coffee
115,49,39,25.8,81.2,6.8,149.5,tea
156,47,39,28.9,64.8,6.9,121.2,cotton
135,38,31,22.5,63.3,7.2,101.2,tobacco
159,44,38,27.9,65.0,6.4,115.6,cotton
95,47,34,22.4,71.3,6.6,93.4,coffee
139,45,28,22.4,67.6,7.1,102.9,tobacco
139,52,43,24.4,73.6,5.7,175.2,sugarcane
165,48,39,27.2,66.8,6.7,123.7,cotton
143,40,30,23.4,63.9,6.9,99.4,tobacco
130,44,32,22.7,64.0,7.2,96.1,tobacco
127,58,46,25.0,73.6,5.7,175.4,sugarcane
100,50,41,25.9,80.5,6.8,153.9,tea
154,49,38,27.8,67.1,6.6,122.3,cotton
110,50,40,25.7,77.5,6.6,145.4,tea
133,38,31,23.2,65.6,7.0,98.2,tobacco
91,43,38,21.2,68.9,6.6,91.7,coffee
134,43,28,23.4,63.5,6.9,95.4,tobacco
133,40,31,22.4,67.0,6.8,107.1,tobacco
134,39,32,23.2,65.2,7.0,100.9,tobacco
100,55,37,26.0,77.8,6.7,154.2,tea
131,40,32,23.2,63.2,6.8,105.1,tobacco
163,50,40,27.9,66.2,6.8,122.2,cotton
134,41,28,22.3,64.1,7.2,103.7,tobacco
134,43,31,23.0,64.2,7.2,97.3,tobacco
92,49,38,21.3,70.1,6.5,86.0,coffee
100,55,39,26.4,79.8,6.9,150.5,tea
103,54,41,26.1,79.6,6.5,148.1,tea
125,56,43,25.2,73.6,5.5,182.5,sugarcane
89,48,34,22.0,70.2,6.2,93.2,coffee
161,47,42,27.2,64.2,6.6,123.7,cotton
95,45,34,21.3,69.4,6.7,85.9,coffee
160,49,39,27.3,66.0,6.5,120.2,cotton
165,44,42,29.0,67.5,6.8,116.0,cotton
107,49,41,25.3,81.2,6.9,148.7,tea
160,46,41,28.5,64.3,6.7,118.5,cotton
111,55,40,25.9,77.7,6.8,152.6,tea
100,54,37,26.3,78.7,6.5,150.4,tea
150,48,39,28.6,66.7,6.2,117.9,cotton
97,49,37,23.0,71.7,6.2,92.9,coffee
153,45,42,28.4,64.8,6.5,122.9,cotton
137,55,43,24.9,72.4,5.7,183.7,sugarcane
162,50,41,28.7,64.6,6.4,118.6,cotton
93,44,34,21.5,70.1,6.3,94.4,coffee
134,58,44,24.4,73.1,5.6,178.6,sugarcane
131,54,42,25.2,72.6,5.8,178.1,sugarcane
100,46,38,22.4,69.5,6.8,90.6,coffee
133,44,31,23.4,66.7,7.0,96.8,tobacco
150,47,42,28.1,64.3,6.8,117.8,cotton
85,49,36,22.2,69.1,6.7,85.6,coffee
141,45,31,22.6,64.0,7.0,104.6,tobacco
128,53,48,24.4,74.4,5.8,176.1,sugarcane
105,53,37,25.8,82.0,6.6,152.7,tea
85,49,37,22.3,71.8,6.6,91.1,coffee
159,44,40,28.5,67.9,6.9,121.7,cotton
107,51,42,26.2,79.6,6.9,146.7,tea
86,44,36,22.2,70.6,6.5,94.0,coffee
152,43,42,28.7,66.0,6.5,123.9,cotton
142,44,30,23.0,63.0,7.1,107.7,tobacco
152,47,41,28.0,65.3,6.3,123.7,cotton
138,55,43,24.3,72.8,5.8,184.9,sugarcane
133,38,30,22.6,64.9,7.0,96.1,tobacco
132,42,31,23.4,64.7,6.8,107.8,tobacco
87,42,34,22.0,69.5,6.7,89.9,coffee
133,40,31,22.9,66.5,6.9,103.1,tobacco
152,49,39,27.4,67.6,6.7,124.6,cotton
93,49,34,21.1,71.8,6.5,87.5,coffee
86,45,35,22.5,71.3,6.5,93.7,coffee
159,42,42,27.8,64.4,6.6,116.2,cotton
133,45,32,22.1,67.1,6.9,107.7,tobacco
97,48,34,21.8,71.8,6.2,92.9,coffee
164,44,40,28.2,64.2,6.8,120.9,cotton
153,47,40,28.0,64.5,6.9,118.7,cotton
88,49,36,21.8,69.7,6.5,93.3,coffee
159,48,38,27.8,66.0,6.5,124.6,cotton
100,48,36,21.1,69.1,6.7,86.0,coffee
130,60,47,24.0,75.1,5.5,184.8,sugarcane
131,60,42,25.0,75.0,5.8,183.4,sugarcane
131,38,32,23.5,67.3,6.9,106.3,tobacco
165,49,38,27.4,66.7,6.3,117.9,cotton
165,42,38,27.8,63.7,6.3,123.8,cotton
135,59,47,24.2,74.4,5.6,175.3,sugarcane
89,47,33,21.9,69.1,6.5,86.2,coffee
135,38,32,23.4,64.0,6.9,97.9,tobacco
110,49,38,25.7,80.9,6.7,147.7,tea
98,49,34,22.3,68.5,6.4,86.2,coffee
160,50,38,27.7,63.1,6.6,120.7,cotton
150,48,41,27.9,67.3,6.4,118.4,cotton
136,43,29,22.5,65.0,7.1,103.9,tobacco
129,53,47,24.9,73.9,5.9,180.0,sugarcane
133,40,31,23.1,65.2,6.9,104.9,tobacco
99,49,37,22.8,71.7,6.6,88.8,coffee
161,50,40,28.6,63.1,6.5,121.4,cotton
113,51,41,26.0,80.4,6.7,147.8,tea
110,50,38,26.3,81.5,6.8,151.5,tea
144,45,31,22.8,66.1,7.2,101.2,tobacco
143,40,32,23.3,63.5,6.8,104.7,tobacco
85,47,37,22.7,69.8,6.7,88.0,coffee
88,44,37,21.7,71.3,6.3,90.9,coffee
94,44,35,22.2,70.2,6.4,90.8,coffee
105,55,37,25.3,81.3,6.9,149.1,tea
98,44,33,22.2,69.0,6.6,86.0,coffee
159,42,40,28.7,66.3,6.9,122.3,cotton
163,49,41,27.7,63.8,6.3,123.4,cotton
131,41,29,22.3,67.1,7.0,107.9,tobacco
134,43,31,23.5,65.8,7.0,96.1,tobacco
155,47,39,27.5,67.3,6.4,120.9,cotton
138,43,31,22.0,67.1,7.1,108.0,tobacco
154,50,41,27.2,65.0,6.5,122.6,cotton
154,43,38,28.3,63.5,6.8,121.0,cotton
105,54,42,26.3,78.7,6.6,154.9,tea
98,50,33,22.1,68.1,6.4,91.6,coffee
156,48,40,28.4,63.4,6.7,119.4,cotton
98,42,37,22.1,71.8,6.3,86.7,coffee
135,40,28,22.1,67.4,7.1,104.4,tobacco
88,49,37,22.0,68.6,6.5,86.9,coffee
103,55,39,25.2,80.1,6.7,147.4,tea
152,48,41,27.3,65.2,6.3,120.5,cotton
136,60,47,24.7,73.5,5.6,179.0,sugarcane
161,42,42,28.9,65.3,6.7,119.0,cotton
101,49,37,25.3,80.6,6.7,149.9,tea
103,55,37,25.8,80.6,6.8,145.8,tea
88,44,38,22.6,70.4,6.4,87.3,coffee
156,42,40,27.4,65.6,6.4,122.7,cotton
132,55,43,25.3,75.6,5.6,177.3,sugarcane
97,50,37,22.5,71.8,6.4,89.4,coffee
110,54,41,26.4,78.9,6.5,151.8,tea
100,45,34,22.2,69.7,6.4,90.5,coffee
132,58,46,25.2,75.9,5.8,182.8,sugarcane
104,48,42,25.3,77.2,6.4,148.2,tea
125,53,45,24.1,73.6,6.0,177.5,sugarcane
111,54,39,25.7,79.6,6.5,146.0,tea
100,53,37,25.4,80.6,6.5,150.3,tea
97,46,38,22.8,71.4,6.6,89.9,coffee
151,47,39,28.6,66.4,6.3,124.1,cotton
135,41,30,22.8,67.1,7.0,104.1,tobacco
125,58,46,24.1,75.0,5.6,176.1,sugarcane
143,45,31,22.9,67.5,7.1,100.1,tobacco
111,50,41,25.5,77.4,6.5,146.1,tea
144,38,32,22.2,64.0,7.1,95.8,tobacco
99,45,36,21.3,70.4,6.3,88.0,coffee
138,45,31,22.5,63.7,7.1,103.5,tobacco
140,41,32,22.2,63.4,7.2,98.9,tobacco
164,44,39,28.9,65.0,6.3,121.5,cotton
135,52,47,24.7,75.5,5.6,177.3,sugarcane
89,42,38,22.0,69.9,6.3,87.3,coffee
157,49,42,28.9,64.3,6.9,115.8,cotton
111,52,37,25.3,78.8,6.8,151.9,tea
92,42,35,22.4,70.4,6.2,89.8,coffee
125,59,48,24.3,74.0,5.6,181.9,sugarcane
139,58,44,24.9,75.7,5.7,177.3,sugarcane
87,46,34,22.5,70.9,6.7,91.0,coffee
154,49,40,27.6,66.3,6.6,123.4,cotton
142,44,28,22.9,66.6,7.1,100.3,tobacco
106,55,42,25.7,79.9,6.9,147.5,tea
135,40,31,22.8,64.5,6.9,107.4,tobacco
139,53,43,24.6,75.3,5.6,175.7,sugarcane
137,54,45,24.6,74.2,5.6,177.3,sugarcane
164,42,42,27.5,65.9,6.7,116.4,cotton
115,48,39,25.9,79.8,6.6,149.3,tea
107,48,40,25.2,81.0,6.5,150.9,tea
126,57,48,25.1,73.9,5.6,181.8,sugarcane
151,49,39,28.9,65.4,6.5,123.5,cotton
100,53,41,26.4,78.4,6.5,153.7,tea
