N,P,K,temperature,humidity,pH,rainfall,crop
160,45,40,28.0,65.0,6.5,120.0,cotton
155,50,42,27.5,68.0,6.8,125.0,cotton
165,42,38,29.0,63.0,6.2,115.0,cotton
150,48,41,28.5,67.0,6.9,122.0,cotton
158,44,39,27.0,64.0,6.6,118.0,cotton
130,60,45,25.0,75.0,5.8,180.0,sugarcane
135,55,48,24.5,73.0,6.0,175.0,sugarcane
125,58,42,25.5,76.0,5.5,185.0,sugarcane
140,52,46,24.0,72.0,5.9,178.0,sugarcane
132,56,44,25.2,74.0,5.7,182.0,sugarcane
90,45,35,22.0,70.0,6.4,90.0,coffee
95,50,38,21.5,72.0,6.7,95.0,coffee
85,42,33,22.5,68.0,6.2,85.0,coffee
100,48,36,21.0,71.0,6.8,92.0,coffee
92,44,34,22.8,69.0,6.5,88.0,coffee
110,55,40,26.0,80.0,6.6,150.0,tea
105,50,38,25.5,78.0,6.9,145.0,tea
115,52,42,26.5,82.0,6.4,155.0,tea
100,48,37,25.0,77.0,6.7,148.0,tea
108,53,39,26.2,79.0,6.5,152.0,tea
140,40,30,23.0,65.0,7.0,100.0,tobacco
135,45,32,22.5,68.0,7.2,105.0,tobacco
145,38,28,23.5,63.0,6.8,95.0,tobacco
130,42,31,22.0,67.0,7.1,108.0,tobacco
138,41,29,23.2,66.0,6.9,102.0,tobacco 
